vOTU	size
vOTU_8470	7970
vOTU_8515	7931
vOTU_8538	7919
vOTU_8540	7917
vOTU_8558	7900
vOTU_8570	7891
vOTU_8581	7885
vOTU_8607	7867
vOTU_8640	7842
vOTU_8641	7842
vOTU_8650	7837
vOTU_8664	7825
vOTU_8666	7824
vOTU_8695	7797
vOTU_8700	7796
vOTU_8724	7778
vOTU_8730	7768
vOTU_8731	7768
vOTU_8740	7758
vOTU_8757	7746
vOTU_8766	7741
vOTU_8767	7739
vOTU_8778	7732
vOTU_8792	7721
vOTU_8810	7707
vOTU_8820	7695
vOTU_8827	7690
vOTU_8835	7684
vOTU_8837	7683
vOTU_8852	7675
vOTU_8860	7671
vOTU_8865	7668
vOTU_8868	7667
vOTU_8874	7661
vOTU_8897	7636
vOTU_8912	7624
vOTU_8920	7616
vOTU_8928	7612
vOTU_8978	7583
vOTU_8986	7572
vOTU_9002	7553
vOTU_9010	7546
vOTU_9018	7539
vOTU_9025	7535
vOTU_9031	7533
vOTU_9049	7518
vOTU_9055	7514
vOTU_9058	7513
vOTU_9062	7509
vOTU_9087	7485
vOTU_9096	7481
vOTU_9098	7479
vOTU_9107	7472
vOTU_9120	7463
vOTU_9158	7440
vOTU_9159	7440
vOTU_9171	7435
vOTU_9172	7435
vOTU_9238	7394
vOTU_9249	7387
vOTU_9253	7385
vOTU_9256	7382
vOTU_9282	7362
vOTU_9317	7332
vOTU_9319	7331
vOTU_9326	7328
vOTU_9327	7328
vOTU_9329	7326
vOTU_9339	7321
vOTU_9349	7316
vOTU_9352	7313
vOTU_9363	7308
vOTU_9369	7304
vOTU_9382	7294
vOTU_9399	7284
vOTU_9408	7278
vOTU_9425	7263
vOTU_9455	7244
vOTU_9460	7240
vOTU_9470	7236
vOTU_9497	7216
vOTU_9498	7214
vOTU_9542	7188
vOTU_9554	7181
vOTU_9555	7181
vOTU_9559	7178
vOTU_9566	7176
vOTU_9591	7161
vOTU_9599	7157
vOTU_9612	7153
vOTU_9636	7138
vOTU_9644	7134
vOTU_9652	7131
vOTU_9661	7126
vOTU_9666	7123
vOTU_9668	7121
vOTU_9673	7118
vOTU_9703	7098
vOTU_9707	7097
vOTU_9708	7096
vOTU_9734	7080
vOTU_9743	7075
vOTU_9758	7070
vOTU_9785	7055
vOTU_9786	7055
vOTU_9800	7046
vOTU_9804	7044
vOTU_9805	7044
vOTU_9810	7042
vOTU_9811	7042
vOTU_9817	7038
vOTU_9823	7033
vOTU_9831	7027
vOTU_9879	6998
vOTU_9886	6996
vOTU_9888	6995
vOTU_9895	6992
vOTU_9899	6991
vOTU_9915	6980
vOTU_9920	6979
vOTU_9933	6971
vOTU_9939	6967
vOTU_9950	6959
vOTU_9971	6944
vOTU_9976	6943
vOTU_10000	6919
vOTU_10015	6909
vOTU_10025	6906
vOTU_10031	6901
vOTU_10034	6900
vOTU_10037	6898
vOTU_10056	6889
vOTU_10110	6863
vOTU_10114	6862
vOTU_10115	6862
vOTU_10124	6857
vOTU_10126	6855
vOTU_10133	6851
vOTU_10134	6850
vOTU_10172	6831
vOTU_10176	6830
vOTU_10179	6828
vOTU_10210	6819
vOTU_10216	6817
vOTU_10218	6816
vOTU_10234	6809
vOTU_10244	6804
vOTU_10259	6790
vOTU_10260	6790
vOTU_10262	6788
vOTU_10263	6788
vOTU_10265	6783
vOTU_10266	6783
vOTU_10275	6778
vOTU_10277	6777
vOTU_10284	6770
vOTU_10286	6768
vOTU_10289	6766
vOTU_10297	6764
vOTU_10306	6761
vOTU_10335	6748
vOTU_10345	6743
vOTU_10360	6735
vOTU_10378	6727
vOTU_10388	6722
vOTU_10405	6712
vOTU_10406	6711
vOTU_10407	6711
vOTU_10408	6710
vOTU_10410	6709
vOTU_10430	6695
vOTU_10443	6691
vOTU_10457	6685
vOTU_10462	6682
vOTU_10472	6679
vOTU_10481	6676
vOTU_10504	6661
vOTU_10511	6658
vOTU_10525	6654
vOTU_10541	6643
vOTU_10555	6631
vOTU_10565	6626
vOTU_10570	6624
vOTU_10576	6623
vOTU_10584	6618
vOTU_10589	6616
vOTU_10593	6615
vOTU_10595	6614
vOTU_10615	6604
vOTU_10616	6604
vOTU_10617	6603
vOTU_10622	6600
vOTU_10638	6593
vOTU_10644	6591
vOTU_10646	6590
vOTU_10647	6590
vOTU_10654	6587
vOTU_10655	6587
vOTU_10659	6585
vOTU_10662	6583
vOTU_10671	6579
vOTU_10685	6575
vOTU_10686	6573
vOTU_10691	6571
vOTU_10697	6567
vOTU_10701	6567
vOTU_10717	6558
vOTU_10719	6557
vOTU_10726	6555
vOTU_10729	6553
vOTU_10732	6551
vOTU_10753	6541
vOTU_10757	6540
vOTU_10764	6537
vOTU_10765	6535
vOTU_10785	6524
vOTU_10792	6520
vOTU_10800	6517
vOTU_10825	6499
vOTU_10830	6497
vOTU_10838	6494
vOTU_10840	6492
vOTU_10854	6487
vOTU_10862	6483
vOTU_10873	6479
vOTU_10878	6477
vOTU_10879	6477
vOTU_10905	6463
vOTU_10911	6459
vOTU_10918	6456
vOTU_10921	6455
vOTU_10922	6455
vOTU_10924	6452
vOTU_10926	6451
vOTU_10937	6448
vOTU_10938	6448
vOTU_10942	6446
vOTU_10947	6445
vOTU_10949	6444
vOTU_10953	6442
vOTU_10955	6442
vOTU_10963	6440
vOTU_10981	6431
vOTU_11005	6421
vOTU_11014	6414
vOTU_11019	6412
vOTU_11024	6408
vOTU_11032	6404
vOTU_11034	6403
vOTU_11041	6399
vOTU_11043	6398
vOTU_11051	6393
vOTU_11057	6391
vOTU_11067	6387
vOTU_11070	6384
vOTU_11081	6381
vOTU_11092	6376
vOTU_11095	6375
vOTU_11100	6372
vOTU_11105	6370
vOTU_11116	6366
vOTU_11118	6366
vOTU_11124	6364
vOTU_11127	6363
vOTU_11134	6361
vOTU_11138	6360
vOTU_11140	6360
vOTU_11141	6360
vOTU_11146	6358
vOTU_11150	6355
vOTU_11157	6354
vOTU_11158	6353
vOTU_11167	6350
vOTU_11169	6349
vOTU_11171	6347
vOTU_11178	6344
vOTU_11183	6342
vOTU_11187	6339
vOTU_11192	6338
vOTU_11199	6335
vOTU_11203	6333
vOTU_11208	6329
vOTU_11209	6328
vOTU_11213	6328
vOTU_11214	6328
vOTU_11220	6327
vOTU_11245	6313
vOTU_11255	6310
vOTU_11256	6310
vOTU_11263	6309
vOTU_11264	6309
vOTU_11265	6309
vOTU_11266	6309
vOTU_11267	6309
vOTU_11278	6305
vOTU_11286	6301
vOTU_11290	6301
vOTU_11291	6301
vOTU_11308	6293
vOTU_11320	6288
vOTU_11329	6284
vOTU_11333	6283
vOTU_11335	6282
vOTU_11338	6281
vOTU_11339	6281
vOTU_11340	6281
vOTU_11344	6280
vOTU_11346	6279
vOTU_11352	6278
vOTU_11353	6278
vOTU_11362	6273
vOTU_11365	6273
vOTU_11366	6271
vOTU_11375	6268
vOTU_11377	6267
vOTU_11393	6257
vOTU_11402	6252
vOTU_11404	6251
vOTU_11433	6236
vOTU_11438	6234
vOTU_11449	6231
vOTU_11461	6225
vOTU_11481	6218
vOTU_11483	6217
vOTU_11487	6216
vOTU_11488	6216
vOTU_11501	6205
vOTU_11504	6203
vOTU_11517	6196
vOTU_11518	6196
vOTU_11531	6190
vOTU_11534	6187
vOTU_11547	6183
vOTU_11573	6172
vOTU_11607	6157
vOTU_11612	6155
vOTU_11616	6153
vOTU_11618	6152
vOTU_11625	6149
vOTU_11630	6147
vOTU_11645	6142
vOTU_11667	6134
vOTU_11678	6127
vOTU_11727	6111
vOTU_11729	6109
vOTU_11737	6106
vOTU_11739	6105
vOTU_11746	6103
vOTU_11759	6097
vOTU_11777	6086
vOTU_11781	6085
vOTU_11789	6084
vOTU_11790	6084
vOTU_11792	6083
vOTU_11794	6081
vOTU_11797	6081
vOTU_11799	6080
vOTU_11813	6075
vOTU_11825	6069
vOTU_11841	6061
vOTU_11842	6060
vOTU_11861	6050
vOTU_11863	6050
vOTU_11869	6048
vOTU_11871	6048
vOTU_11882	6043
vOTU_11889	6042
vOTU_11910	6036
vOTU_11924	6032
vOTU_11940	6025
vOTU_11949	6022
vOTU_11950	6022
vOTU_11970	6011
vOTU_11977	6009
vOTU_11988	6004
vOTU_11990	6004
vOTU_12006	5996
vOTU_12011	5993
vOTU_12016	5992
vOTU_12023	5986
vOTU_12024	5985
vOTU_12029	5984
vOTU_12053	5972
vOTU_12081	5963
vOTU_12092	5958
vOTU_12099	5956
vOTU_12112	5952
vOTU_12123	5949
vOTU_12133	5945
vOTU_12134	5945
vOTU_12156	5937
vOTU_12196	5919
vOTU_12221	5910
vOTU_12230	5908
vOTU_12236	5905
vOTU_12246	5901
vOTU_12259	5895
vOTU_12261	5893
vOTU_12276	5887
vOTU_12282	5885
vOTU_12284	5884
vOTU_12291	5880
vOTU_12295	5878
vOTU_12298	5877
vOTU_12302	5875
vOTU_12315	5871
vOTU_12320	5870
vOTU_12321	5869
vOTU_12322	5869
vOTU_12336	5863
vOTU_12337	5863
vOTU_12339	5863
vOTU_12343	5862
vOTU_12348	5860
vOTU_12355	5858
vOTU_12358	5856
vOTU_12360	5855
vOTU_12379	5848
vOTU_12399	5836
vOTU_12404	5835
vOTU_12414	5830
vOTU_12423	5827
vOTU_12486	5801
vOTU_12491	5800
vOTU_12496	5799
vOTU_12507	5795
vOTU_12517	5792
vOTU_12528	5789
vOTU_12534	5786
vOTU_12535	5785
vOTU_12578	5767
vOTU_12595	5759
vOTU_12608	5756
vOTU_12610	5755
vOTU_12614	5754
vOTU_12616	5753
vOTU_12635	5748
vOTU_12645	5746
vOTU_12647	5746
vOTU_12666	5739
vOTU_12668	5738
vOTU_12682	5735
vOTU_12686	5732
vOTU_12714	5725
vOTU_12723	5723
vOTU_12732	5720
vOTU_12747	5716
vOTU_12756	5715
vOTU_12768	5710
vOTU_12772	5710
vOTU_12796	5698
vOTU_12807	5695
vOTU_12812	5694
vOTU_12823	5691
vOTU_12830	5689
vOTU_12859	5680
vOTU_12870	5677
vOTU_12873	5675
vOTU_12874	5675
vOTU_12881	5674
vOTU_12890	5669
vOTU_12892	5669
vOTU_12893	5669
vOTU_12895	5668
vOTU_12896	5668
vOTU_12902	5667
vOTU_12903	5667
vOTU_12923	5662
vOTU_12924	5662
vOTU_12932	5660
vOTU_12940	5656
vOTU_12944	5655
vOTU_12946	5654
vOTU_12953	5652
vOTU_12957	5651
vOTU_12964	5647
vOTU_12971	5646
vOTU_12973	5646
vOTU_12999	5635
vOTU_13008	5633
vOTU_13020	5629
vOTU_13039	5623
vOTU_13042	5622
vOTU_13060	5616
vOTU_13073	5609
vOTU_13075	5608
vOTU_13089	5606
vOTU_13091	5605
vOTU_13105	5603
vOTU_13118	5599
vOTU_13138	5594
vOTU_13140	5593
vOTU_13143	5590
vOTU_13171	5581
vOTU_13177	5578
vOTU_13181	5576
vOTU_13195	5572
vOTU_13204	5568
vOTU_13205	5568
vOTU_13206	5567
vOTU_13207	5567
vOTU_13218	5565
vOTU_13224	5563
vOTU_13244	5555
vOTU_13248	5554
vOTU_13253	5552
vOTU_13268	5549
vOTU_13269	5548
vOTU_13272	5547
vOTU_13274	5546
vOTU_13295	5539
vOTU_13308	5535
vOTU_13310	5534
vOTU_13325	5529
vOTU_13339	5526
vOTU_13342	5524
vOTU_13359	5520
vOTU_13383	5511
vOTU_13392	5509
vOTU_13401	5505
vOTU_13408	5502
vOTU_13409	5502
vOTU_13414	5500
vOTU_13419	5499
vOTU_13420	5498
vOTU_13421	5498
vOTU_13426	5496
vOTU_13427	5496
vOTU_13428	5496
vOTU_13439	5494
vOTU_13440	5493
vOTU_13459	5490
vOTU_13460	5489
vOTU_13464	5488
vOTU_13465	5488
vOTU_13466	5488
vOTU_13469	5487
vOTU_13475	5486
vOTU_13476	5486
vOTU_13477	5486
vOTU_13484	5483
vOTU_13510	5474
vOTU_13529	5470
vOTU_13553	5464
vOTU_13597	5450
vOTU_13600	5449
vOTU_13627	5443
vOTU_13648	5434
vOTU_13655	5432
vOTU_13658	5431
vOTU_13668	5427
vOTU_13678	5425
vOTU_13699	5420
vOTU_13718	5414
vOTU_13723	5413
vOTU_13728	5410
vOTU_13739	5408
vOTU_13770	5397
vOTU_13777	5396
vOTU_13779	5395
vOTU_13791	5392
vOTU_13811	5385
vOTU_13835	5378
vOTU_13839	5377
vOTU_13842	5376
vOTU_13860	5369
vOTU_13865	5367
vOTU_13897	5358
vOTU_13903	5357
vOTU_13917	5353
vOTU_13926	5350
vOTU_13927	5350
vOTU_13953	5342
vOTU_13954	5342
vOTU_13959	5342
vOTU_13961	5341
vOTU_13988	5333
vOTU_13992	5333
vOTU_13995	5332
vOTU_13996	5331
vOTU_14002	5331
vOTU_14018	5328
vOTU_14023	5325
vOTU_14027	5323
vOTU_14037	5321
vOTU_14059	5314
vOTU_14060	5314
vOTU_14062	5314
vOTU_14081	5308
vOTU_14082	5308
vOTU_14085	5307
vOTU_14097	5304
vOTU_14102	5303
vOTU_14103	5303
vOTU_14119	5297
vOTU_14126	5295
vOTU_14134	5293
vOTU_14138	5292
vOTU_14141	5292
vOTU_14143	5289
vOTU_14150	5287
vOTU_14186	5280
vOTU_14191	5279
vOTU_14197	5279
vOTU_14212	5275
vOTU_14218	5274
vOTU_14263	5263
vOTU_14268	5260
vOTU_14269	5260
vOTU_14290	5253
vOTU_14312	5246
vOTU_14320	5245
vOTU_14327	5242
vOTU_14328	5242
vOTU_14333	5240
vOTU_14340	5240
vOTU_14363	5234
vOTU_14390	5226
vOTU_14395	5224
vOTU_14415	5217
vOTU_14419	5216
vOTU_14445	5210
vOTU_14468	5203
vOTU_14472	5202
vOTU_14477	5201
vOTU_14496	5195
vOTU_14510	5191
vOTU_14511	5190
vOTU_14538	5182
vOTU_14551	5177
vOTU_14556	5176
vOTU_14559	5175
vOTU_14563	5175
vOTU_14568	5173
vOTU_14611	5164
vOTU_14615	5163
vOTU_14616	5162
vOTU_14620	5161
vOTU_14655	5152
vOTU_14656	5152
vOTU_14668	5148
vOTU_14681	5145
vOTU_14690	5142
vOTU_14700	5141
vOTU_14707	5139
vOTU_14708	5139
vOTU_14732	5132
vOTU_14741	5131
vOTU_14755	5128
vOTU_14774	5125
vOTU_14775	5125
vOTU_14792	5122
vOTU_14800	5119
vOTU_14801	5119
vOTU_14802	5119
vOTU_14804	5119
vOTU_14820	5115
vOTU_14834	5111
vOTU_14838	5110
vOTU_14884	5099
vOTU_14893	5097
vOTU_14894	5097
vOTU_14901	5096
vOTU_14903	5096
vOTU_14909	5094
vOTU_14917	5091
vOTU_14920	5091
vOTU_14924	5090
vOTU_14939	5086
vOTU_14947	5084
vOTU_15005	5068
vOTU_15024	5065
vOTU_15033	5064
vOTU_15046	5059
vOTU_15047	5059
vOTU_15053	5058
vOTU_15054	5057
vOTU_15065	5054
vOTU_15078	5052
vOTU_15084	5050
vOTU_15088	5050
vOTU_15095	5048
vOTU_15100	5046
vOTU_15104	5045
vOTU_15108	5043
vOTU_15128	5039
vOTU_15145	5032
vOTU_15147	5032
vOTU_15150	5031
vOTU_15166	5029
vOTU_15175	5026
vOTU_15180	5025
vOTU_15200	5021
vOTU_15221	5018
vOTU_15226	5017
vOTU_15239	5014
vOTU_15255	5008
vOTU_15304	4994
vOTU_15305	4994
vOTU_15336	4987
vOTU_15356	4982
vOTU_15375	4979
vOTU_15405	4971
vOTU_15413	4970
vOTU_15418	4969
vOTU_15426	4967
vOTU_15437	4965
vOTU_15441	4964
vOTU_15484	4954
vOTU_15493	4951
vOTU_15507	4949
vOTU_15520	4944
vOTU_15533	4942
vOTU_15534	4942
vOTU_15562	4936
vOTU_15567	4936
vOTU_15576	4931
vOTU_15593	4928
vOTU_15597	4926
vOTU_15611	4924
vOTU_15617	4923
vOTU_15634	4918
vOTU_15644	4917
vOTU_15647	4916
vOTU_15652	4913
vOTU_15655	4913
vOTU_15670	4909
vOTU_15697	4903
vOTU_15716	4901
vOTU_15717	4901
vOTU_15728	4899
vOTU_15729	4898
vOTU_15751	4894
vOTU_15755	4893
vOTU_15793	4883
vOTU_15815	4879
vOTU_15827	4876
vOTU_15830	4874
vOTU_15849	4869
vOTU_15852	4868
vOTU_15876	4863
vOTU_15877	4863
vOTU_15879	4862
vOTU_15883	4861
vOTU_15896	4857
vOTU_15916	4852
vOTU_15921	4852
vOTU_15927	4851
vOTU_15949	4846
vOTU_15950	4846
vOTU_15953	4845
vOTU_15993	4835
vOTU_16042	4824
vOTU_16055	4821
vOTU_16060	4818
vOTU_16067	4817
vOTU_16073	4816
vOTU_16077	4815
vOTU_16078	4815
vOTU_16087	4813
vOTU_16097	4810
vOTU_16099	4810
vOTU_16114	4808
vOTU_16115	4808
vOTU_16116	4807
vOTU_16122	4806
vOTU_16155	4799
vOTU_16164	4796
vOTU_16166	4794
vOTU_16189	4788
vOTU_16213	4784
vOTU_16219	4783
vOTU_16222	4782
vOTU_16227	4781
vOTU_16229	4780
vOTU_16234	4780
vOTU_16235	4779
vOTU_16241	4778
vOTU_16261	4772
vOTU_16289	4765
vOTU_16292	4765
vOTU_16302	4763
vOTU_16312	4761
vOTU_16314	4761
vOTU_16346	4754
vOTU_16351	4753
vOTU_16358	4751
vOTU_16359	4751
vOTU_16360	4751
vOTU_16364	4750
vOTU_16372	4747
vOTU_16373	4747
vOTU_16376	4746
vOTU_16386	4745
vOTU_16387	4744
vOTU_16397	4743
vOTU_16402	4741
vOTU_16421	4737
vOTU_16422	4737
vOTU_16435	4734
vOTU_16456	4729
vOTU_16467	4726
vOTU_16507	4718
vOTU_16514	4717
vOTU_16522	4714
vOTU_16529	4713
vOTU_16541	4711
vOTU_16559	4708
vOTU_16576	4703
vOTU_16581	4702
vOTU_16588	4700
vOTU_16611	4696
vOTU_16632	4690
vOTU_16633	4690
vOTU_16635	4690
vOTU_16636	4689
vOTU_16639	4689
vOTU_16648	4688
vOTU_16655	4686
vOTU_16660	4685
vOTU_16668	4683
vOTU_16670	4683
vOTU_16677	4682
vOTU_16692	4679
vOTU_16710	4675
vOTU_16718	4673
vOTU_16756	4666
vOTU_16803	4657
vOTU_16805	4657
vOTU_16839	4649
vOTU_16840	4649
vOTU_16847	4648
vOTU_16850	4647
vOTU_16854	4646
vOTU_16872	4644
vOTU_16879	4643
vOTU_16887	4641
vOTU_16897	4638
vOTU_16921	4634
vOTU_16935	4630
vOTU_16948	4628
vOTU_16965	4626
vOTU_16970	4624
vOTU_16971	4624
vOTU_16972	4624
vOTU_16974	4623
vOTU_16975	4622
vOTU_16996	4618
vOTU_16997	4618
vOTU_17012	4615
vOTU_17015	4614
vOTU_17019	4613
vOTU_17026	4611
vOTU_17038	4608
vOTU_17047	4606
vOTU_17054	4604
vOTU_17089	4595
vOTU_17092	4594
vOTU_17094	4594
vOTU_17184	4575
vOTU_17185	4575
vOTU_17220	4568
vOTU_17223	4567
vOTU_17289	4552
vOTU_17293	4550
vOTU_17304	4548
vOTU_17305	4548
vOTU_17314	4546
vOTU_17376	4532
vOTU_17380	4532
vOTU_17384	4531
vOTU_17391	4529
vOTU_17413	4525
vOTU_17446	4519
vOTU_17458	4517
vOTU_17497	4510
vOTU_17510	4507
vOTU_17513	4507
vOTU_17518	4506
vOTU_17530	4502
vOTU_17536	4501
vOTU_17537	4500
vOTU_17558	4495
vOTU_17571	4492
vOTU_17596	4488
vOTU_17604	4487
vOTU_17643	4478
vOTU_17650	4477
vOTU_17661	4475
vOTU_17689	4469
vOTU_17693	4469
vOTU_17698	4468
vOTU_17712	4464
vOTU_17745	4459
vOTU_17756	4456
vOTU_17785	4451
vOTU_17788	4450
vOTU_17809	4446
vOTU_17820	4445
vOTU_17854	4437
vOTU_17862	4436
vOTU_17884	4429
vOTU_17895	4425
vOTU_17900	4424
vOTU_17903	4423
vOTU_17942	4416
vOTU_17958	4413
vOTU_17965	4412
vOTU_17966	4412
vOTU_17971	4410
vOTU_17979	4408
vOTU_18020	4401
vOTU_18037	4396
vOTU_18042	4395
vOTU_18045	4395
vOTU_18057	4393
vOTU_18063	4392
vOTU_18067	4391
vOTU_18085	4389
vOTU_18093	4388
vOTU_18115	4383
vOTU_18119	4382
vOTU_18127	4381
vOTU_18130	4381
vOTU_18159	4376
vOTU_18161	4376
vOTU_18164	4374
vOTU_18182	4371
vOTU_18200	4367
vOTU_18210	4364
vOTU_18245	4358
vOTU_18251	4357
vOTU_18257	4356
vOTU_18264	4354
vOTU_18271	4353
vOTU_18293	4350
vOTU_18300	4347
vOTU_18345	4339
vOTU_18346	4339
vOTU_18396	4330
vOTU_18413	4326
vOTU_18417	4326
vOTU_18426	4325
vOTU_18434	4323
vOTU_18454	4320
vOTU_18460	4318
vOTU_18461	4318
vOTU_18481	4315
vOTU_18530	4306
vOTU_18532	4305
vOTU_18535	4305
vOTU_18543	4303
vOTU_18555	4301
vOTU_18556	4300
vOTU_18561	4300
vOTU_18605	4293
vOTU_18646	4286
vOTU_18670	4280
vOTU_18679	4278
vOTU_18683	4276
vOTU_18685	4276
vOTU_18708	4271
vOTU_18714	4270
vOTU_18735	4266
vOTU_18739	4265
vOTU_18751	4263
vOTU_18756	4263
vOTU_18773	4259
vOTU_18808	4252
vOTU_18811	4251
vOTU_18830	4247
vOTU_18836	4246
vOTU_18847	4244
vOTU_18880	4238
vOTU_18902	4235
vOTU_18919	4231
vOTU_18933	4229
vOTU_18954	4226
vOTU_18957	4225
vOTU_18971	4223
vOTU_18996	4218
vOTU_19012	4217
vOTU_19097	4202
vOTU_19102	4201
vOTU_19166	4189
vOTU_19190	4185
vOTU_19212	4181
vOTU_19253	4174
vOTU_19260	4174
vOTU_19270	4172
vOTU_19273	4171
vOTU_19280	4171
vOTU_19295	4169
vOTU_19319	4166
vOTU_19320	4165
vOTU_19327	4164
vOTU_19336	4162
vOTU_19347	4160
vOTU_19355	4158
vOTU_19363	4157
vOTU_19368	4156
vOTU_19442	4147
vOTU_19459	4144
vOTU_19483	4141
vOTU_19499	4138
vOTU_19541	4132
vOTU_19574	4128
vOTU_19679	4109
vOTU_19693	4107
vOTU_19695	4107
vOTU_19705	4106
vOTU_19722	4104
vOTU_19817	4091
vOTU_19832	4088
vOTU_19843	4087
vOTU_19874	4082
vOTU_19888	4079
vOTU_19898	4078
vOTU_19923	4074
vOTU_19927	4074
vOTU_19938	4072
vOTU_19953	4070
vOTU_19966	4068
vOTU_19972	4067
vOTU_20038	4058
vOTU_20042	4058
vOTU_20049	4057
vOTU_20056	4056
vOTU_20067	4053
vOTU_20078	4052
vOTU_20113	4045
vOTU_20127	4044
vOTU_20131	4044
vOTU_20134	4043
vOTU_20146	4041
vOTU_20187	4034
vOTU_20214	4029
vOTU_20218	4028
vOTU_20251	4023
vOTU_20277	4020
vOTU_20318	4013
vOTU_20336	4010
vOTU_20347	4008
vOTU_20368	4004
vOTU_20373	4003
vOTU_20376	4003
vOTU_20378	4002
vOTU_20385	4000
vOTU_20389	4000
vOTU_20411	3997
vOTU_20421	3996
vOTU_20425	3995
vOTU_20468	3986
vOTU_20541	3976
vOTU_20549	3976
vOTU_20565	3974
vOTU_20602	3968
vOTU_20632	3963
vOTU_20640	3962
vOTU_20648	3961
vOTU_20658	3960
vOTU_20703	3953
vOTU_20731	3949
vOTU_20741	3947
vOTU_20755	3945
vOTU_20759	3945
vOTU_20762	3944
vOTU_20764	3944
vOTU_20765	3944
vOTU_20799	3938
vOTU_20823	3935
vOTU_20834	3933
vOTU_20857	3931
vOTU_20888	3926
vOTU_20920	3923
vOTU_20982	3916
vOTU_21001	3914
vOTU_21009	3913
vOTU_21047	3907
vOTU_21095	3900
vOTU_21126	3896
vOTU_21216	3885
vOTU_21230	3883
vOTU_21329	3870
vOTU_21378	3864
vOTU_21390	3862
vOTU_21399	3862
vOTU_21406	3861
vOTU_21423	3858
vOTU_21439	3856
vOTU_21444	3856
vOTU_21445	3856
vOTU_21487	3851
vOTU_21543	3844
vOTU_21549	3843
vOTU_21554	3842
vOTU_21564	3841
vOTU_21573	3840
vOTU_21614	3834
vOTU_21615	3834
vOTU_21661	3829
vOTU_21664	3829
vOTU_21673	3827
vOTU_21692	3824
vOTU_21705	3822
vOTU_21722	3819
vOTU_21728	3818
vOTU_21739	3817
vOTU_21748	3815
vOTU_21758	3813
vOTU_21774	3812
vOTU_21782	3811
vOTU_21796	3809
vOTU_21816	3807
vOTU_21842	3804
vOTU_21846	3804
vOTU_21854	3803
vOTU_21871	3802
vOTU_21892	3798
vOTU_21938	3792
vOTU_21958	3789
vOTU_21971	3788
vOTU_21972	3788
vOTU_21983	3786
vOTU_22009	3782
vOTU_22011	3782
vOTU_22032	3778
vOTU_22036	3777
vOTU_22040	3777
vOTU_22090	3770
vOTU_22096	3769
vOTU_22101	3768
vOTU_22102	3768
vOTU_22121	3765
vOTU_22129	3764
vOTU_22135	3764
vOTU_22136	3763
vOTU_22161	3761
vOTU_22167	3761
vOTU_22176	3759
vOTU_22184	3758
vOTU_22200	3756
vOTU_22204	3756
vOTU_22230	3753
vOTU_22233	3752
vOTU_22243	3752
vOTU_22261	3749
vOTU_22293	3746
vOTU_22294	3745
vOTU_22296	3745
vOTU_22319	3742
vOTU_22322	3742
vOTU_22324	3742
vOTU_22353	3738
vOTU_22398	3732
vOTU_22411	3730
vOTU_22412	3730
vOTU_22420	3729
vOTU_22477	3722
vOTU_22478	3722
vOTU_22514	3718
vOTU_22533	3716
vOTU_22630	3705
vOTU_22661	3701
vOTU_22681	3699
vOTU_22686	3698
vOTU_22691	3697
vOTU_22704	3696
vOTU_22713	3695
vOTU_22722	3694
vOTU_22745	3690
vOTU_22753	3689
vOTU_22764	3688
vOTU_22781	3685
vOTU_22786	3685
vOTU_22820	3681
vOTU_22828	3680
vOTU_22836	3679
vOTU_22848	3677
vOTU_22896	3671
vOTU_22897	3671
vOTU_22904	3670
vOTU_22918	3668
vOTU_22938	3664
vOTU_22956	3661
vOTU_22968	3660
vOTU_22976	3659
vOTU_22983	3658
vOTU_22999	3656
vOTU_23007	3655
vOTU_23009	3655
vOTU_23014	3654
vOTU_23059	3649
vOTU_23077	3647
vOTU_23095	3644
vOTU_23108	3643
vOTU_23123	3641
vOTU_23175	3632
vOTU_23282	3619
vOTU_23300	3617
vOTU_23316	3615
vOTU_23320	3615
vOTU_23329	3614
vOTU_23353	3612
vOTU_23369	3609
vOTU_23375	3609
vOTU_23401	3607
vOTU_23408	3605
vOTU_23488	3597
vOTU_23490	3597
vOTU_23494	3597
vOTU_23549	3592
vOTU_23574	3588
vOTU_23620	3583
vOTU_23674	3575
vOTU_23692	3573
vOTU_23699	3573
vOTU_23708	3571
vOTU_23746	3567
vOTU_23787	3563
vOTU_23814	3560
vOTU_23874	3552
vOTU_23904	3550
vOTU_23930	3546
vOTU_23931	3546
vOTU_23986	3540
vOTU_23995	3539
vOTU_24067	3531
vOTU_24094	3528
vOTU_24139	3521
vOTU_24149	3520
vOTU_24160	3519
vOTU_24177	3518
vOTU_24178	3518
vOTU_24198	3515
vOTU_24204	3515
vOTU_24215	3514
vOTU_24231	3512
vOTU_24276	3508
vOTU_24283	3507
vOTU_24303	3504
vOTU_24304	3504
vOTU_24386	3495
vOTU_24392	3495
vOTU_24418	3492
vOTU_24419	3492
vOTU_24421	3492
vOTU_24422	3491
vOTU_24427	3491
vOTU_24437	3490
vOTU_24445	3489
vOTU_24462	3487
vOTU_24486	3483
vOTU_24530	3479
vOTU_24540	3478
vOTU_24565	3476
vOTU_24572	3475
vOTU_24613	3471
vOTU_24615	3471
vOTU_24680	3464
vOTU_24710	3460
vOTU_24737	3458
vOTU_24749	3457
vOTU_24787	3453
vOTU_24800	3451
vOTU_24817	3450
vOTU_24846	3447
vOTU_24853	3446
vOTU_24855	3446
vOTU_24862	3446
vOTU_24897	3442
vOTU_24938	3438
